Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Geesamtindex,Latitude,Longitude
9041501,Altstadt Kietz,5.57,15.75,32.58,mittel,0,0
9041601,Müggelheim,0.83,2.16,4.90,hoch,52.4121651,13.6619543
9051701,Hirschgarten,5.71,7.26,14.02,mittel,52.4579033,13.6031386
9051702,Bölschestraße,1.75,4.06,7.98,mittel,52.4474315,13.6244324
9051801,Rahnsdorf/Hessenwinkel,1.52,3.10,5.67,hoch,52.4388819,13.718100538301812
9051901,Dammvorstadt,2.98,6.71,12.46,mittel,52.4549323,13.5766447
9052001,Köpenick Nord,2.38,4.84,10.06,mittel,52.4657155,13.5748928
10010101,Marzahn West,6.06,22.90,44.83,niedrig,52.5677802,13.547588315328309
10010102,Havemannstraße,5.90,22.06,44.35,niedrig,52.5693133,13.5690333
10010204,Wuhletalstraße,5.53,20.13,42.94,mittel,52.5598872,13.5658824
10010205,Marzahn Ost,5.45,19.22,43.47,mittel,52.5492117,13.57705835056338
10010206,Ringkolonnaden,4.73,16.13,39.88,mittel,0,0
10010207,Marzahner Promenade,4.99,15.62,37.20,mittel,52.5460551,13.5545879
10010308,Marzahner Chaussee,4.18,6.54,9.15,mittel,52.5136419,13.5244863
10010309,Springpfuhl,4.29,12.53,31.41,mittel,52.52704,13.5365518
10010310,Alt-Marzahn,4.01,11.86,29.17,mittel,52.5436183,13.5605173
10010311,Landsberger Tor,2.01,7.28,16.37,mittel,0,0
10020412,Alte Hellersdorfer Straße,7.78,28.60,49.09,sehr niedrig,52.543423,13.5928696
10020413,Gut Hellersdorf,5.44,19.67,42.93,mittel,52.53888825,13.596075593118572
10020414,Helle Mitte,4.35,19.33,40.38,mittel,52.537739200000004,13.603757005036432
10020415,Hellersdorfer Promenade,7.55,29.00,58.32,sehr niedrig,52.541151,13.606589644528645
10020416,Böhlener Straße,6.03,24.57,48.28,niedrig,52.5396979,13.6216124
10020517,Adele-Sandrock-Straße,3.02,10.66,25.84,mittel,52.5366725,13.6209116
10020518,Schleipfuhl,6.27,19.89,40.90,mittel,52.5283517,13.610266335904875
10020519,Boulevard Kastanienallee,6.71,26.31,48.67,niedrig,52.5287245,13.6061107
10020620,Kaulsdorf Nord II,4.19,14.43,38.28,mittel,0,0
10020621,Gelbes Viertel,6.89,24.84,47.47,niedrig,52.529410299999995,13.597658884486542
10020622,Kaulsdorf Nord I,3.13,10.17,26.03,mittel,0,0
10020623,Rotes Viertel,3.66,10.77,25.16,mittel,52.521191349999995,13.592778207721388
10030724,Oberfeldstraße,0.53,1.21,2.15,hoch,52.5318368,13.5587749
10030725,Buckower Ring,3.89,11.39,18.55,mittel,52.5250996,13.566216
10030726,Alt-Biesdorf,1.50,4.58,10.95,mittel,52.5090911,13.5566616
10030727,Biesdorf Süd,0.47,1.10,1.99,hoch,52.4996047,13.5465321
10040828,Kaulsdorf Nord,1.64,4.37,10.48,mittel,52.5211535,13.5889176
10040829,Alt-Kaulsdorf,1.85,4.84,6.92,mittel,52.5051825,13.5803076
10040830,Kaulsdorf Süd,0.40,1.54,2.19,hoch,52.4935443,13.5770594
10040931,Mahlsdorf Nord,0.73,1.68,1.63,hoch,52.5229728,13.6316579
10040932,Alt-Mahlsdorf,1.26,1.90,3.36,hoch,52.5048005,13.6107077
10040933,Mahlsdorf Süd,0.59,1.56,2.67,hoch,52.4876545,13.611831
11010101,Dorf Malchow,1.85,4.63,12.86,mittel,52.5802084,13.4825429
11010102,Dorf Wartenberg,0.90,1.81,3.24,hoch,52.57533,13.5121
11010103,Dorf Falkenberg,1.68,5.39,12.45,mittel,52.5702883,13.5364745
11010204,Falkenberg Ost,7.18,23.61,48.56,niedrig,0,0
11010205,Falkenberg West,5.56,18.51,40.82,mittel,0,0
11010206,Wartenberg Süd,5.53,17.62,41.99,mittel,52.5098213,13.477461
11010207,Wartenberg Nord,5.68,18.76,40.65,mittel,0,0
11010308,Zingster Straße Ost,6.03,18.86,44.32,mittel,0,0
11010309,Zingster Straße West,7.41,22.47,51.87,niedrig,0,0
11010310,Mühlengrund,4.30,10.79,24.34,mittel,52.553830000000005,13.508277796648018
11020411,Malchower Weg,4.42,13.50,33.08,mittel,52.5498904,13.5085091
11020412,Hauptstraße,4.50,12.88,28.46,mittel,0,0
11020513,Orankesee,1.03,3.56,6.75,hoch,52.5487672,13.482346205856711
11020514,Große-Leege-Straße,4.78,13.55,34.70,mittel,52.5480383,13.5010102
11020515,Landsberger Allee,4.66,13.49,33.70,mittel,52.5381421,13.5309193
11020516,Weiße Taube,1.00,2.63,5.89,hoch,52.4979413,13.4296989
11030617,Hohenschönhausener Straße,6.60,17.35,51.03,niedrig,0,0
11030618,Fennpfuhl West,3.76,10.40,30.40,mittel,0,0
11030619,Fennpfuhl Ost,5.48,14.35,35.21,mittel,0,0
11030720,Herzbergstraße,2.68,9.46,28.68,mittel,52.5268091,13.4804485
11030721,Rüdigerstraße,3.77,10.15,20.72,mittel,52.5153517,13.5021787
11030824,Frankfurter Allee Süd,4.23,14.02,37.30,mittel,52.5101663,13.480687813764971
11040925,Victoriastadt,2.81,7.33,10.62,mittel,52.50465525,13.478071711081604
11040926,Weitlingstraße,4.33,11.10,23.63,mittel,52.510565,13.5001049
11041022,Rosenfelder Ring,6.11,14.40,47.15,mittel,52.5119957,13.510029201212326
11041023,Gensinger Straße,5.65,15.09,34.51,mittel,52.5114221,13.5355485
11041027,Tierpark,4.79,15.85,36.79,mittel,52.4977241,13.5229595
11041128,Sewanstraße,4.76,11.83,35.95,mittel,52.495657,13.5089795
11051229,Rummelsburg,2.69,8.30,11.69,mittel,52.5013696,13.4835143
11051330,Karlshorst West,1.79,5.54,10.74,mittel,0,0
11051331,Karlshorst Nord,1.92,3.82,5.36,hoch,0,0
11051332,Karlshorst Süd,1.04,2.25,2.68,hoch,0,0
12103115,Breitkopfbecken,6.59,20.73,48.19,niedrig,52.5728402,13.362720224847891
12103116,Hausotterplatz,6.13,22.21,48.51,niedrig,52.56936585,13.375432531964808
12103117,Letteplatz,6.38,22.38,49.73,niedrig,52.563707050000005,13.371292818961704
12103218,Teichstraße,5.80,19.10,45.57,mittel,52.5740868,13.3476794
12103219,Schäfersee,6.34,19.28,50.55,niedrig,52.566662949999994,13.360696037439125
12103220,Humboldtstraße,4.07,12.56,30.65,mittel,52.5705371,13.3345325
12214125,Waldidyll/Flughafensee,2.79,7.55,21.14,mittel,0,0
12214126,Tegel Süd,6.77,20.44,41.61,niedrig,52.5764903,13.284447670067077
12214421,Reinickes Hof,6.16,18.38,45.81,niedrig,52.5774273,13.3310294
12214422,Klixstraße,8.47,28.88,58.30,sehr niedrig,52.5711547,13.3103669
12214423,Mellerbogen,4.90,15.38,37.80,mittel,0,0
12214424,Scharnweberstraße,8.03,24.53,57.71,sehr niedrig,52.5668172,13.3126219
12214527,Alt-Tegel,2.64,7.41,19.36,mittel,52.5894565,13.2837514
12224229,Konradshöhe/Tegelort,1.02,2.26,4.71,hoch,52.5709893,13.2315355
12224230,Heiligensee,0.88,3.12,5.37,hoch,52.6122549,13.2295789
12231101,Hermsdorf,1.17,3.12,5.45,hoch,52.6183341,13.3110313
12231102,Frohnau,1.13,2.24,4.38,hoch,52.6323917,13.2878663
12301203,Wittenau Süd,4.58,12.70,31.99,mittel,52.5779013,13.3331269
12301204,Wittenau Nord,2.11,7.37,20.13,mittel,0,0
12301205,Waidmannslust,2.26,4.96,9.02,mittel,52.6080354,13.3225327
12301206,Lübars,1.48,2.76,4.09,hoch,52.6146467,13.3530197
12302107,Schorfheidestraße,2.24,9.31,25.65,mittel,52.5727088,13.5751289
12302108,Märkisches Zentrum,7.47,26.29,57.35,sehr niedrig,52.5975836,13.354515578995304
12302109,Treuenbrietzener Straße,8.10,32.47,59.79,sehr niedrig,52.6002046,13.3619042
12302110,Dannenwalder Weg,7.87,29.59,56.47,sehr niedrig,52.5967214,13.3605891
12302211,Lübarser Straße,3.89,8.21,22.07,mittel,52.6012352,13.3340499
12302212,Rollbergesiedlung,9.09,34.91,66.21,sehr niedrig,52.60835185,13.334088541902368
12304313,Borsigwalde,4.24,11.49,30.81,mittel,52.5840624,13.3022741
12304314,Ziekowstraße/Freie Scholle,2.63,7.60,15.37,mittel,0,0
