Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Geesamtindex,Latitude,Longitude
4030929,Hindemithplatz,1.84,6.36,6.98,mittel,52.5033306,13.3079856
4030930,George-Grosz-Platz,2.05,5.52,10.07,mittel,52.50163005,13.317235867892222
4030931,Breitscheidplatz,2.47,8.57,20.21,mittel,52.50496755,13.335294018768128
4031032,Halensee,2.52,7.31,15.05,mittel,52.4940267,13.280318535075601
4041134,Bismarckallee,1.59,5.83,7.60,mittel,52.4904484,13.2824169
4041135,Hundekehle,0.96,2.83,2.47,hoch,52.47224035,13.241810802514282
4041136,Hagenplatz,1.26,3.09,4.90,hoch,52.48347435,13.26648282971464
4041137,Flinsberger Platz,2.76,7.73,16.41,mittel,52.4843411,13.2916567
4041238,Kissinger Straße,2.69,6.23,11.20,mittel,52.4788588,13.2959931
4041240,Messelpark,0.73,1.71,2.52,hoch,52.47120565,13.283290579648828
4041241,Breite Straße,1.84,4.31,5.05,hoch,52.5141235,13.4056675
4041342,Schlangenbader Straße,4.82,10.70,19.50,mittel,52.4703116,13.3079766
4041343,Binger Straße,2.40,6.36,8.65,mittel,52.4785347,13.3096281
4041344,Rüdesheimer Platz,2.02,4.95,7.27,mittel,52.4732464,13.314415
4051445,Eisenzahnstraße,4.07,9.93,24.68,mittel,52.4942067,13.3048702
4051446,Preußenpark,2.32,5.97,8.57,mittel,52.49249865,13.31312112785669
4051447,Ludwigkirchplatz,3.24,7.27,14.89,mittel,52.4975581,13.32267048960177
4051448,Schaperstraße,3.32,7.60,18.13,mittel,52.4987338,13.3274018
4051549,Rathaus Wilmersdorf,3.63,12.93,32.91,mittel,52.4896644,13.313963665510869
4051550,Leon-Jessel-Platz,2.47,8.56,17.15,mittel,52.4893871,13.319462159695625
4051551,Brabanter Platz,3.42,9.81,23.59,mittel,52.4818517,13.31649000631424
4051652,Nikolsburger Platz,2.75,7.01,13.57,mittel,52.4934355,13.3284191
4051653,Prager Platz,3.23,7.15,12.87,mittel,52.49314335,13.333019065383901
4051654,Wilhelmsaue,3.10,6.91,13.03,mittel,52.48541265,13.321433984333694
4051655,Babelsberger Straße,3.32,9.04,13.67,mittel,52.4860063,13.3352084
4051656,Hildegardstraße,2.21,5.73,10.28,mittel,52.4817891,13.3262748
5010101,Hakenfelde Nord,3.26,10.74,24.85,mittel,0,0
5010102,Goltzstraße,5.37,15.38,40.61,mittel,52.5637528,13.2150671
5010103,Amorbacher Weg,3.11,9.23,18.67,mittel,52.5575122,13.2070808
5010204,Griesingerstraße,6.86,20.95,38.47,niedrig,52.5656034,13.1555705
5010205,An der Tränke,1.42,3.27,9.01,hoch,52.551654,13.147198
5010206,Gütersloher Weg,7.61,22.60,52.15,sehr niedrig,52.5479306,13.171654
5010207,Darbystraße,8.21,25.85,50.38,sehr niedrig,52.5528091,13.172063
5010208,Germersheimer Platz,7.40,23.05,51.98,sehr niedrig,52.544541800000005,13.187102137884068
5010209,An der Kappe,3.06,9.59,22.76,mittel,52.5409001,13.1788932
5010310,Eckschanze,6.23,20.46,44.50,niedrig,52.5517741,13.1978918
5010311,Eiswerder,6.84,21.63,49.07,niedrig,52.548986,13.219156131881778
5010312,Kurstraße,9.34,28.28,60.33,sehr niedrig,52.5118675,13.402477
5010313,Ackerstraße,6.64,19.74,43.60,niedrig,52.5352479,13.3905445
5010314,Carl-Schurz-Straße,6.14,18.46,42.39,mittel,52.5354428,13.200620454673643
5010339,Freiheit,2.38,8.24,7.84,mittel,52.4474283,13.5768876
5020415,Isenburger Weg,0.93,2.12,4.90,hoch,52.5424316,13.1355584
5020416,Am Heideberg,2.76,5.99,10.46,mittel,52.5401238,13.1472687
5020417,Staakener Straße,3.19,8.03,19.34,mittel,52.5359809,13.1823627
5020418,Spandauer Straße,4.47,12.04,24.38,mittel,52.520434,13.4041115
5020419,Magistratsweg,7.41,19.81,48.26,niedrig,52.5369471,13.1566862
5020420,Werkstraße,1.77,6.50,15.24,mittel,52.4820503,13.8333917
5020521,Döberitzer Weg,1.42,4.08,8.59,hoch,52.5271396,13.1290007
5020522,Pillnitzer Weg,9.62,29.94,62.82,sehr niedrig,52.5224715,13.1562682
5020523,Maulbeerallee,12.81,39.45,71.19,sehr niedrig,52.5240088,13.1677663
5020524,Weinmeisterhornweg,2.98,6.61,17.58,mittel,52.5101272,13.1753431
5020625,Borkumer Straße,5.21,15.04,40.71,mittel,52.5325392,13.194984
5020626,Adamstraße,5.83,16.46,38.12,mittel,52.521045,13.189567
5020627,Tiefwerder,6.96,21.94,47.47,niedrig,52.52058065,13.210121586404107
5020628,Graetschelsteig,5.79,13.87,37.76,mittel,52.517429,13.1874442
5020629,Börnicker Straße,2.56,3.08,4.69,mittel,52.5157303,13.189457
5030730,Zitadellenweg,2.81,11.65,23.83,mittel,52.5378903,13.2174781
5030731,Gartenfelder Straße,7.07,20.06,46.71,niedrig,52.5509828,13.248748
5030832,Rohrdamm,5.13,16.77,39.76,mittel,52.5369951,13.262306
5030833,Motardstraße,2.87,14.65,55.77,mittel,52.5338934,13.2663045
5040934,Alt-Gatow,2.12,6.95,20.88,mittel,52.4836183,13.1837637
5040935,Groß-Glienicker Weg,4.63,7.27,9.09,mittel,52.4801593,13.1449328
5040936,Jägerallee,0.87,1.86,2.87,hoch,52.4679169,13.1214996
5040937,Kladower Damm,0.60,1.14,1.16,hoch,52.4538048,13.1441512
5040938,Kafkastraße,1.05,1.50,5.05,hoch,52.4468399,13.1277401
6010101,Fichtenberg,1.49,3.10,4.57,hoch,52.4582283,13.3100698
6010102,Schloßstraße,2.70,6.79,12.95,mittel,52.461481,13.3250946
6010103,Markelstraße,1.88,5.22,8.17,mittel,52.4632632,13.3269254
6010204,Munsterdamm,3.16,8.26,16.46,mittel,52.4589313,13.3488485
6010205,Südende,3.06,8.26,18.25,mittel,52.448279,13.3537492
6010206,Stadtpark,2.61,7.76,14.18,mittel,52.4831773,13.341972
6010207,Mittelstraße,3.25,7.46,16.82,mittel,52.5373995,13.4826251
6010208,Bergstraße,2.77,7.36,11.84,mittel,52.5719786,13.5772602
6010209,Feuerbachstraße,2.56,7.63,14.78,mittel,52.463673,13.3326994
6010210,Bismarckstraße,3.09,8.28,15.31,mittel,52.5115148,13.3052393
6020301,Alt-Lankwitz,2.68,8.40,16.70,mittel,52.4363661,13.3649641
6020302,Komponistenviertel Lankwitz,2.01,4.51,11.13,mittel,52.4375558,13.334377
6020303,Lankwitz Kirche,4.55,10.98,25.08,mittel,52.436748,13.3454096
6020304,Kaiser-Wilhelm-Straße,4.17,10.51,23.63,mittel,52.4363835,13.3458114
6020305,Gemeindepark Lankwitz,4.24,11.12,24.38,mittel,52.43134175,13.350080584354387
6020306,Lankwitz Süd,1.76,5.62,12.92,mittel,52.42317665,13.362284993251034
6020407,Thermometersiedlung,6.78,17.29,44.31,niedrig,52.41431735,13.314622949983283
6020408,Lichterfelde Süd,3.85,10.52,24.75,mittel,52.4099669,13.3085527
6020409,Königsberger Straße,2.56,6.30,16.52,mittel,52.5149483,13.4436121
6020410,Oberhofer Platz,1.63,4.23,9.52,mittel,52.424791150000004,13.328173774065391
6020411,Schütte-Lanz-Straße,2.61,7.16,19.76,mittel,52.4093744,13.3313105
6030501,Berlepschstraße,1.48,4.84,11.80,mittel,52.4209438,13.226431
6030502,Zehlendorf Süd,3.23,8.63,19.15,mittel,52.4255052,13.240168053968436
6030503,Zehlendorf Mitte,1.65,5.10,9.29,mittel,52.4349053,13.2599256
6030504,Teltower Damm,1.32,2.57,4.94,hoch,52.4127572,13.2668011
6030605,Botanischer Garten,2.13,5.33,9.74,mittel,52.45439665,13.304122526030515
6030606,Hindenburgdamm,3.46,7.87,15.92,mittel,52.4511098,13.3153634
6030607,Goerzwerke,1.71,4.59,11.80,mittel,0,0
6030608,Schweizer Viertel,1.65,3.61,6.06,hoch,52.4240284,13.2964923
6030609,Augustaplatz,2.55,5.34,11.81,mittel,52.44280725,13.307452030569994
6030610,Lichterfelde West,1.16,2.81,4.54,hoch,52.4433056,13.2935862
6040701,Wannsee,1.21,2.52,4.77,hoch,52.4211482,13.1589374
6040702,Düppel,1.05,4.34,5.92,hoch,52.4254973,13.233305907223176
6040703,Nikolassee,1.21,2.29,4.06,hoch,52.4262495,13.1981446
6040804,Krumme Lanke,0.83,1.62,1.86,hoch,52.4434481,13.2413921
6040805,Fischerhüttenstraße,1.26,2.83,4.37,hoch,52.4452671,13.2345095
6040806,Fischtal,1.23,3.05,4.94,hoch,52.4454817,13.2561111
6040807,Zehlendorf Eiche,2.09,4.03,6.60,mittel,52.4344102,13.2600391
6040808,Hüttenweg,0.60,1.97,3.12,hoch,52.4694251,13.2362916
6040809,Thielallee,0.37,1.28,1.54,hoch,52.4530792,13.2860029
6040810,Dahlem,1.01,1.81,4.02,hoch,52.4573805,13.2810976
7010101,Wittenbergplatz/Viktoria-Luise-Platz,3.77,11.39,20.71,mittel,0,0
7010102,Nollendorfplatz,5.20,20.70,44.48,mittel,52.4995972,13.3537297
7010103,Barbarossaplatz,2.37,8.54,15.14,mittel,52.4920953,13.349199950324744
7010104,Dennewitzplatz,5.93,20.45,38.92,mittel,52.49618905,13.366174929565462
7020201,Bayerischer Platz,2.43,8.01,13.25,mittel,52.4885755,13.3405436
7020202,Volkspark (Rudolf-Wilde-Park),4.12,11.96,25.04,mittel,0,0
7020203,Kaiser-Wilhelm-Platz,3.72,13.54,25.09,mittel,52.486629199999996,13.357163698180905
7020204,Schöneberger Insel,2.62,9.68,16.71,mittel,52.485909,13.3611805
7030301,Friedenau,1.51,5.16,7.92,mittel,52.472075,13.3296424
7030302,Ceciliengärten,2.04,6.42,11.98,mittel,52.47420665,13.341860455373258
7030303,Grazer Platz,3.80,12.73,25.03,mittel,52.467315799999994,13.34681556130397
7040401,Neu-Tempelhof,3.55,11.89,22.45,mittel,52.476357,13.3813229
7040402,Lindenhofsiedlung,4.37,13.13,25.93,mittel,0,0
7040403,Manteuffelstraße,4.27,13.26,30.68,mittel,52.4583502,13.3760338
7040404,Marienhöhe,3.23,10.89,23.61,mittel,52.4519197,13.3661522
7040405,Rathaus Tempelhof,5.14,15.55,37.50,mittel,52.46262245,13.386260460798024
7040406,Germaniagarten,7.97,26.77,58.14,sehr niedrig,52.4627192,13.4147457
7050501,Rathausstraße,5.53,15.73,38.10,mittel,52.5188051,13.4080574
7050502,Fritz-Werner-Straße,5.20,14.07,35.64,mittel,52.4283231,13.3816013
7050503,Eisenacher Straße,4.16,12.38,29.65,mittel,52.4895529,13.3501694
