Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
3020209,Niederschönhausen,3.39,4.80,6.69,mittel,52.5858062,13.401397
3020210,Herthaplatz,3.85,6.28,11.01,mittel,52.5846986,13.4095706
3020307,Buchholz,3.25,5.84,10.69,mittel,52.6105131,13.4281104
3030405,Karow Nord,3.92,9.17,18.35,mittel,52.6169054,13.4900721
3030406,Alt-Karow,2.56,2.21,3.71,hoch,52.6157138,13.4856769
3030711,Blankenburg,2.34,2.13,3.27,hoch,52.593211,13.4541825
3030715,Heinersdorf,4.35,5.54,9.58,mittel,52.5728248,13.4370149
3030716,Märchenland,4.20,2.64,9.32,mittel,52.4885,13.4542465
3040508,Rosenthal,2.43,4.75,9.70,hoch,52.5983189,13.3755194
3040512,Wilhelmsruh,3.31,4.95,8.94,mittel,52.5880115,13.3622059
3040513,Schönholz,3.03,3.55,3.28,hoch,52.5715004,13.3809904
3040614,Pankow Zentrum,4.68,7.07,11.23,mittel,0,0
3040818,Pankow Süd,5.13,8.22,15.21,mittel,52.55739095,13.460076525798193
3050919,Gustav-Adolf-Straße,6.65,10.23,21.25,mittel,52.5599502,13.4489828
3050920,Weißer See,4.83,7.12,13.81,mittel,52.55407615,13.46342608088942
3050923,Weißenseer Spitze,5.93,9.23,14.39,mittel,0,0
3050924,Behaimstraße,7.69,12.29,20.47,mittel,52.5491634,13.4455249
3050925,Komponistenviertel Weißensee,5.24,8.87,13.69,mittel,52.5483207,13.4576533
3051017,Rennbahnstraße,5.89,9.80,19.38,mittel,52.56098,13.4571644
3051021,Buschallee,7.53,10.98,31.12,mittel,52.5535902,13.4704385
3051022,Hansastraße,5.14,10.18,30.10,mittel,52.5616649,13.5003885
3061126,Arnimplatz,5.15,7.05,9.63,mittel,52.5517551,13.409449419572233
3061131,Falkplatz,4.87,5.15,5.81,mittel,52.5458619,13.403701893218535
3061227,Humannplatz,4.58,5.92,8.34,mittel,52.549074000000005,13.422295698381111
3061228,Erich-Weinert-Straße,6.04,9.23,19.88,mittel,52.5482773,13.4273411
3061332,Helmholtzplatz,5.14,6.47,8.07,mittel,52.5430211,13.419032624098314
3061429,Greifswalder Straße,8.25,11.47,39.22,mittel,52.5402462,13.4389887
3061430,Volkspark Prenzlauer Berg,7.99,10.74,17.11,mittel,52.53578855,13.463217379890311
3061434,Anton-Saefkow-Park,5.95,7.69,10.13,mittel,52.537401599999995,13.44011188411454
3061435,Conrad-Blenkle-Straße,6.52,11.87,29.42,mittel,52.5314053,13.4463378
3061441,Eldenaer Straße,2.32,1.09,0.69,hoch,52.520388,13.4595907
3071536,Teutoburger Platz,4.04,4.83,7.46,mittel,52.532075500000005,13.408906124254809
3071537,Kollwitzplatz,4.25,4.74,6.05,mittel,52.536053800000005,13.41704224983837
3071633,Thälmannpark,7.55,13.39,21.98,mittel,0,0
3071638,Winsstraße,4.44,5.63,8.42,mittel,52.5374188,13.4286022
3071639,Bötzowstraße,4.25,5.34,6.43,mittel,52.5341681,13.4376045
4010101,Jungfernheide,9.84,19.81,45.55,niedrig,52.5304034,13.299269
4010102,Plötzensee,5.76,12.29,45.83,mittel,52.54425365,13.329969221902985
4010103,Paul-Hertz-Siedlung,11.58,25.84,56.75,sehr niedrig,0,0
4020205,Siedlung Ruhleben,2.53,2.41,5.42,hoch,52.5227766,13.239081516621066
4020206,Angerburger Allee,3.73,5.27,17.56,mittel,52.5119311,13.2202055
4020207,Flatowallee,2.34,3.08,7.58,hoch,52.509514,13.2412416
4020208,Kranzallee,2.18,3.37,3.54,hoch,52.5054755,13.2341089
4020209,Eichkamp,1.01,1.44,3.26,hoch,52.4986377,13.2702326
4020310,Park Ruhwald,1.53,4.98,11.43,hoch,52.5224279,13.2550517
4020311,Reichsstraße,4.02,5.37,10.57,mittel,52.5149089,13.2629054
4020312,Branitzer Platz,3.48,6.13,9.64,mittel,52.516136700000004,13.271090730521255
4020313,Königin-Elisabeth-Straße,5.90,8.99,24.15,mittel,52.5115614,13.2814719
4030415,Schloßgarten,9.17,19.03,43.35,niedrig,52.52446755,13.293333074897546
4030416,Klausenerplatz,7.22,15.44,28.61,mittel,52.5192757,13.2923759
4030417,Schloßstraße,5.44,10.05,20.03,mittel,52.461481,13.3250946
4030518,Tegeler Weg,7.49,13.57,34.54,mittel,52.5253425,13.2975643
4030519,Kaiserin-Augusta-Allee,6.40,14.48,37.41,mittel,52.5257887,13.3162593
4030620,Alt-Lietzow,5.69,11.67,26.67,mittel,52.5180587,13.3137352
4030621,Spreestadt,7.88,14.10,35.91,mittel,0,0
4030622,Richard-Wagner-Straße,6.76,13.08,26.83,mittel,52.5134827,13.3069383
4030623,Ernst-Reuter-Platz,7.14,14.77,31.60,mittel,52.5118853,13.3221613
4030724,Lietzensee,5.13,8.39,14.54,mittel,52.50642345,13.288045461967833
4030725,Amtsgerichtsplatz,4.82,7.78,16.43,mittel,52.5065043,13.295403761000003
4030726,Droysenstraße,5.21,8.07,16.93,mittel,52.5017965,13.3005886
4030827,Karl-August-Platz,5.77,11.68,25.15,mittel,52.508347549999996,13.310969968382535
4030828,Savignyplatz,4.69,7.22,17.48,mittel,52.5051746,13.3190659
4030929,Hindemithplatz,4.33,6.42,8.28,mittel,52.5033306,13.3079856
4030930,George-Grosz-Platz,4.21,5.95,8.55,mittel,52.50163005,13.317235867892222
4030931,Breitscheidplatz,4.73,8.58,16.86,mittel,52.50496755,13.335294018768128
4031032,Halensee,4.88,7.79,16.18,mittel,52.4940267,13.280318535075601
4041134,Bismarckallee,3.47,6.26,10.00,mittel,52.4904484,13.2824169
4041135,Hundekehle,1.77,2.81,2.55,hoch,52.47224035,13.241810802514282
4041136,Hagenplatz,3.15,3.49,6.00,hoch,52.48347435,13.26648282971464
4041137,Flinsberger Platz,4.95,7.90,18.37,mittel,52.4843411,13.2916567
4041238,Kissinger Straße,4.52,6.33,13.25,mittel,52.4794688,13.2868173
4041240,Messelpark,2.06,1.50,2.26,hoch,52.47120565,13.283290579648828
4041241,Breite Straße,3.04,4.40,5.50,hoch,52.5150501,13.4044093
4041342,Schlangenbader Straße,6.33,10.43,17.51,mittel,52.4703116,13.3079766
4041343,Binger Straße,4.40,6.48,10.96,mittel,52.4785787,13.3093099
4041344,Rüdesheimer Platz,3.89,5.92,9.52,mittel,52.4732464,13.314415
4051445,Eisenzahnstraße,6.23,10.87,26.97,mittel,52.491184,13.304664
