Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbezieher unter 15,Gesamtindex,Latitude,Longitude
7601340,Tirschenreuther Ring Ost,6.72119,17.80992,41.68443,mittel,0,0
7601341,Diedersdorfer Weg,4.35109,9.67601,17.54967,mittel,52.4105296,13.3603691
7601442,Kettinger Straße,2.86487,6.1345,15.0037,mittel,52.4121311,13.3948479
7601443,Töpchiner Weg,3.09593,8.8022,20.83071,mittel,52.4016543,13.4120162
7601544,John-Locke-Straße,6.29969,13.02298,27.88462,mittel,52.3925978,13.4006694
7601545,Nahariyastraße,9.37746,24.7183,57.58645,sehr niedrig,52.3893513,13.4203558
7601546,Franziusweg,1.88073,4.45686,8.33333,mittel,52.3957049,13.3878814
7601547,Horstwalder Straße,4.25725,9.74346,27.77778,mittel,52.3820541,13.400231
7601548,Wittelsbacherstraße,1.45278,4.8583,15.21253,mittel,52.4943391,13.3151466
8100101,Hasenheide,9.15273,19.22055,40.41746,niedrig,52.4864404,13.423836
8100102,Schillerpromenade Nord,8.34602,16.20832,37.86096,mittel,0,0
8100103,Schillerpromenade Süd,8.54944,17.12833,39.84199,niedrig,0,0
8100104,Wartheplatz,11.07376,21.24963,55.62061,sehr niedrig,52.4697138,13.424049206383494
8100105,Silbersteinstraße,11.73393,24.44764,62.40695,sehr niedrig,52.4675781,13.4416132
8100206,Flughafenstraße,8.24876,17.98717,43.15315,niedrig,52.4812087,13.428318
8100207,Rollberg,12.74717,26.34546,52.69509,sehr niedrig,52.5982817,13.3996407
8100208,Körnerpark,9.74744,19.36849,49.78274,niedrig,52.4713168,13.437911639101404
8100209,Glasower Straße,11.69938,23.54528,55.92417,sehr niedrig,52.4642163,13.4350473
8100310,Maybachufer,5.81994,13.40612,28.77907,mittel,52.4956262,13.4207359
8100311,Reuterplatz,5.50941,12.19014,24.4143,mittel,52.488990799999996,13.42959657233412
8100312,Weichselplatz,7.29896,15.71089,36.46643,mittel,52.487895800000004,13.439138410707468
8100313,Bouchéstraße,8.18018,16.62358,39.24051,mittel,52.4916164,13.4506972
8100314,Donaustraße,8.90682,19.97822,52.21675,niedrig,52.485086,13.4302349
8100415,Ganghoferstraße,7.51673,16.23277,38.48837,mittel,52.4790526,13.4381233
8100416,Alt-Rixdorf,7.97872,16.76318,36.3109,mittel,52.4738525,13.4460541
8100417,Braunschweiger Straße,10.16427,20.03226,48.25175,sehr niedrig,52.4738243,13.4537757
8100418,Hertzbergplatz,7.69024,15.61327,37.95234,mittel,52.4776072,13.44950035075888
8100419,Treptower Straße Nord,13.64166,28.84507,68.32653,sehr niedrig,0,0
8100520,Weiße Siedlung,16.01161,34.76678,67.52739,sehr niedrig,52.4731845,13.4658989
8100521,Schulenburgpark,17.79488,36.58004,74.67833,sehr niedrig,52.4676223,13.470647104252963
8200622,Jahnstraße,14.08943,27.99572,60.89439,sehr niedrig,52.4900686,13.6104174
8200623,Park am Buschkrug,7.33138,17.18338,35.81758,mittel,52.45398155,13.449075317618812
8200624,Tempelhofer Weg,9.62315,19.88805,48.87543,niedrig,52.4523204,13.4331128
8200725,Mohriner Allee Nord,4.61538,6.35438,14.42308,mittel,0,0
8200726,Hufeisensiedlung,5.2881,11.17844,23.58491,mittel,52.447214,13.44700911904037
8200727,Parchimer Allee Süd,6.20081,11.96292,33.83028,mittel,0,0
8200728,Ortolanweg,6.17608,16.83958,38.0597,mittel,52.4391495,13.4700678
8200729,Britzer Garten,3.49127,5.68365,8.9172,mittel,52.43335765,13.41687681927067
8200730,Handwerker-Siedlung,6.99904,9.33454,20.86957,mittel,0,0
8200831,Buckow West,4.71426,7.95673,20.95517,mittel,0,0
8200832,Buckow Mitte,6.20155,11.37502,32.80757,mittel,0,0
8200833,Buckow Ost,8.64379,16.69349,44.19971,niedrig,0,0
8300934,Gropiusstadt Nord-West,10.89015,20.96697,51.10178,sehr niedrig,0,0
8300935,Gropiusstadt Süd-West,7.32121,13.78885,40.8313,mittel,0,0
8301036,Gropiusstadt Mitte,9.80392,19.70793,45.04587,niedrig,0,0
8301037,Gropiusstadt Süd-Ost,11.22987,21.49754,48.81434,sehr niedrig,0,0
8401138,Goldhähnchenweg,8.83905,17.29005,48.82075,niedrig,52.4423118,13.4588088
8401139,Vogelviertel Süd,4.91935,8.18913,23.45972,mittel,0,0
8401140,Vogelviertel Nord,4.84247,9.35738,21.875,mittel,0,0
8401241,Blumenviertel,3.04459,5.55421,15.9292,mittel,52.534166,13.4581585
8401242,Zittauer Straße,2.4647,4.98247,15.63555,mittel,52.4185399,13.4759717
8401243,Alt-Rudow,5.37545,9.19276,26.20321,mittel,52.416704,13.4968395
8401244,Waßmannsdorfer Chaussee,2.34058,4.27086,11.1002,mittel,52.4006004,13.4883016
8401245,Frauenviertel,3.25785,9.13665,20.7483,mittel,52.402485049999996,13.506511499205477
8401246,Waltersdorfer Chaussee Ost,4.53895,9.36989,25.61576,mittel,0,0
9100101,Alt-Treptow,4.74341,9.50862,16.4551,mittel,52.4925634,13.4598743
9100202,Plänterwald West,3.02721,5.85143,8.37989,mittel,0,0
9100203,Plänterwald Ost,5.60326,9.34431,30.62914,mittel,0,0
9100304,Baumschulenweg West,4.36822,6.84184,17.31975,mittel,0,0
9100305,Baumschulenweg Ost,6.60155,8.29651,16.25835,mittel,0,0
9100306,Späthsfelde,3.30285,7.52098,22.48521,mittel,52.4572678,13.4682365
9100407,Johannisthal West,3.99508,6.13208,17.98942,mittel,0,0
9100408,Johannisthal Ost,4.07909,8.22949,19.09722,mittel,0,0
9100409,Landschaftspark Adlershof,1.46299,4.56296,10.46278,mittel,52.43548575,13.51807689280373
9200510,Helmholtz-Kiez,8.03324,16.31055,42.4186,mittel,0,0
9200511,Griechischer Park,6.4174,14.12777,32.15548,mittel,52.46412235,13.519592937500004
9200512,Wuhlheide,7.38592,11.88953,30.68783,mittel,52.4685507,13.5543359
9200613,Bahnhof Schöneweide,5.32314,11.41766,29.65723,mittel,52.4549058,13.5097653
9200614,Oberspree,4.4316,7.73743,23.11321,mittel,52.4524146,13.538075
9200715,Wista,1.59731,4.93625,14.89362,mittel,52.43170515,13.538844601164913
9200716,Dörpfeldstraße West,5.1233,9.31021,23.90057,mittel,0,0
9200717,Dörpfeldstraße Ost,5.21524,8.87998,23.82909,mittel,0,0
9200818,Spindlersfeld,4.75504,8.29794,15.49296,mittel,52.4468976,13.5615738
9200819,Köllnische Vorstadt,6.71046,15.6657,37.42775,mittel,52.44012455,13.565596552401203
9300920,Dorf Altglienicke,2.19321,5.12297,13.03689,mittel,0,0
9300921,Preußen Siedlung,1.78472,2.52132,4.70914,hoch,52.413068499999994,13.55579168987099
9300922,Kosmos Viertel,10.2537,22.40283,54.30328,sehr niedrig,0,0
9300923,Kölner Viertel,5.35422,13.31864,29.75671,mittel,52.403750349999996,13.547006644266705
9301024,Falkenberg,1.20805,2.60654,3.40314,hoch,52.5692998,13.5400296
9301025,Alt-Bohnsdorf,3.1071,5.00929,12.49133,mittel,0,0
9301126,Grünau,2.68545,4.10143,9.46502,mittel,52.4154272,13.5805633
9301227,Karolinenhof,1.52964,1.54997,1.98413,hoch,52.3918603,13.6350687
9301228,Schmöckwitz/Rauchfangswerder,1.8046,2.99494,7.52089,hoch,52.3689744,13.651025653285325
9401329,Kietzer Feld/Nachtheide,3.16206,4.45847,9.66135,mittel,0,0
9401330,Wendenschloß,0.88496,1.93616,3.14685,hoch,52.42142405,13.590258138677132
9401431,Allende I,3.31201,5.78512,17.77379,mittel,52.44418545,13.590632196611466
9401432,Siedlung Kämmereiheide,2.95359,7.1383,16.91729,mittel,52.4438878,13.599469522176932
9401433,Allende II,5.28286,8.97436,26.99115,mittel,52.439869200000004,13.602295584784876
9401534,Altstadt Köpenick,6.14275,14.22925,29.67742,mittel,52.4463547,13.577073232198625
9401635,Müggelheim,1.48906,2.06786,3.83352,hoch,52.4121651,13.6619543
9501736,Hirschgarten,5.06375,6.31694,10.36269,mittel,52.4579033,13.6031386
9501737,Alt-Friedrichshagen,2.28068,3.67189,6.83102,hoch,0,0
9501838,Rahnsdorf,2.21396,3.58157,7.96394,hoch,52.4358729,13.7018024
9501939,Bahnhofstraße,3.76884,6.17845,11.58605,mittel,52.3866765,13.3966183
9501940,Güterbahnhof Köpenick,5.32139,7.99104,20.1087,mittel,52.4570541,13.591135264108022
9501941,Friedrichshagener Straße,2.57669,3.92084,8.55019,mittel,52.4514228,13.5924643
9502042,Mittelheide,2.77344,3.53142,6.00375,mittel,52.46757345,13.601525661171305
9502043,Dammheide,2.86242,3.87462,9.0625,mittel,52.4755423,13.584798653838547
10100101,Marzahn West,6.20429,20.40638,38.77756,mittel,52.5677802,13.547588315328309
10100102,Rosenbecker Straße,7.75296,21.1637,49.45652,niedrig,52.5708624,13.572362
10100103,Wittenberger Straße,6.31558,18.07417,36.85897,mittel,52.5638651,13.5679248
10100104,Golliner Straße,6.36023,19.69518,39.47001,mittel,52.5693695,13.5777527
10100205,Gewerbegebiet Bitterfelder Straße,0,0,0,,0,0
10100206,Wuhletalstraße,6.50468,17.62705,39.9546,mittel,52.5598872,13.5658824
10100207,Ahrensfelder Berge,6.53757,16.18687,39.47368,mittel,52.5563128,13.5817915
10100208,Bürgerpark,6.67983,15.37706,45.50669,mittel,52.55159345,13.561487773160533
10100209,Lea-Grundig-Straße,4.48475,13.41837,30.48298,mittel,52.5479327,13.5588791
10100210,Marzahner Promenade,5.98398,13.99555,32.78036,mittel,52.5456497,13.5527757
10100311,Marzahner Chaussee,5.95483,7.45063,9.24092,mittel,52.5231249,13.533481
10100312,Springpfuhl,4.68786,11.02961,25.01348,mittel,52.52704,13.5365518
10100313,Alt-Marzahn,3.85518,8.88796,21.73145,mittel,52.5426423,13.5621287
10100314,Auersbergstraße,5.02907,9.33587,24.20307,mittel,52.5393784,13.5572044
10100315,Bärenstein,5.21617,12.38321,31.80934,mittel,52.5427763,13.5661115
10100316,Landsberger Tor,1.95896,7.5523,14.21233,mittel,0,0
10200417,Zossener Straße,8.72497,23.65082,43.45127,niedrig,52.4980207,13.3959
10200418,Kyritzer Straße,4.61216,13.37006,30.80808,mittel,52.5400247,13.5844433
10200419,Havelländer Ring,5.93449,16.24579,34.07155,mittel,52.542508,13.5950342
10200420,Gut Hellersdorf,8.06221,21.21805,48.57143,niedrig,52.53888825,13.596075593118572
10200421,Helle Mitte,3.79225,15.26807,28.98551,mittel,52.537739200000004,13.603757005036432
10200422,Hellersdorfer Promenade,10.89815,27.44887,53.66044,sehr niedrig,52.541151,13.606589644528645
10200423,Böhlener Straße,7.66415,21.20088,42.70367,niedrig,52.539768,13.6204169
10200524,Adele-Sandrock-Straße,3.78657,11.6391,31.89003,mittel,52.5338963,13.619461
10200525,Schleipfuhl,7.94292,21.0457,43.37349,niedrig,52.5283517,13.610266335904875
10200526,Boulevard Kastanienallee,7.82567,24.59499,46.76259,niedrig,52.5287245,13.6061107
10200627,Am Kienberg,4.65303,12.23665,29.23077,mittel,52.5318497,13.57654835834851
10200628,Neue Grottkauer Straße,7.59693,21.90161,43.44828,niedrig,52.529144,13.5922169
10200629,Teterower Ring,4.41878,9.24992,24.68124,mittel,52.5225444,13.5851968
10200630,Cecilienplatz,3.99709,10.4825,25.82278,mittel,52.5213957,13.590751846117666
10300731,Oberfeldstraße,0.44571,1.25561,2.11706,hoch,52.5263503,13.5572963
10300732,Buckower Ring,5.72697,11.19102,21.10286,mittel,52.5250892,13.5654003
10300733,Alt-Biesdorf,1.222,3.40274,6.66667,hoch,52.5055513,13.5722913
10300734,Biesdorf Süd,0.58249,1.61793,2.71164,hoch,52.4996047,13.5465321
10400835,Kaulsdorf Nord,1.43982,3.91956,9.05696,hoch,52.5211535,13.5889176
10400836,Alt-Kaulsdorf,2.28457,3.90383,5.78035,hoch,52.5051499,13.5840518
10400837,Kaulsdorf Süd,0.70686,1.50006,2.71028,hoch,52.4935443,13.5770594
10400938,Mahlsdorf Nord,0.63734,1.75386,1.7894,hoch,52.5229728,13.6316579
10400939,Alt-Mahlsdorf,1.2337,3.00651,4.82866,hoch,52.5047895,13.6126079
10400940,Elsensee,0.5481,1.77556,4.74255,hoch,52.4987258,13.602029474058419
10400941,Pilgramer Straße,0.62893,1.7227,2.88529,hoch,52.5035731,13.6206059
11100101,Dörfer Malchow-Wartenberg,0.69204,2.66505,3.64078,hoch,0,0
11100102,Dorf Falkenberg,3.76623,14.07035,30.86957,mittel,52.5705024,13.5359252
11100203,Falkenberg Ost,8.68637,20.78789,44.62617,niedrig,0,0
11100204,Falkenberg West,6.43759,16.08054,35.73201,mittel,0,0
11100205,Wartenberg Süd,6.67656,16.83347,43.81663,mittel,52.5098213,13.477461
11100206,Wartenberg Nord,8.29521,18.78039,44.54806,niedrig,0,0
11100307,Zingster Straße Ost,7.53689,15.8426,40.39106,mittel,0,0
11100308,Zingster Straße West,8.98194,20.07722,47.87571,niedrig,0,0
11100309,Mühlengrund,5.02013,10.76395,25.82873,mittel,52.553830000000005,13.508277796648018
11200410,Malchower Weg,6.19055,12.81256,31.46667,mittel,52.5500181,13.5085993
11200411,Hauptstraße,6.0806,11.8874,27.8297,mittel,52.5294946,13.6896607
11200512,Orankesee,2.00873,5.92612,13.76022,mittel,52.5487672,13.482346205856711
11200513,Große-Leege-Straße,5.33352,12.19561,31.74603,mittel,52.5480383,13.5010102
